artist,genre
Shakira,"pop, latin, female vocalists, spanish, rock, dance, Shakira, Colombia, sexy, singer-songwriter"
Ricky Martin,"pop, latin, latin pop, dance, spanish, male vocalists, puerto rico, Puerto Rican, Ricky Martin, 90s"
CNCO,"pop, latin, Reggaeton, latin pop, boybands, male vocalists, latino, teen pop, teen, boy band"
"J Balvin, Pharrell Williams, BIA, Sky",
Daddy Yankee,"Reggaeton, latin, Hip-Hop, spanish, rap, puerto rico, Daddy Yankee, hip hop, Puerto Rican, male vocalists"
Sebastian Yatra,"Colombia, Paulina Rubio, Reggaeton, pop, All, latin, latin pop, Popgueton, Urbano Latino, Sebastián Yatra"
Rombai,"All, uruguay, cumbia, cumbia pop, band, party, latin, summer, group, latin pop"
Zion & Lennox,"Reggaeton, latin, puerto rico, spanish, en espanol, zion and Lennox, metalcore, latino, world, aventura"
"Carlos Vives, Shakira",
Ozuna,"Reggaeton, latin, puerto rico, Puerto Rican, Urbano Latino, Latin Urban, male vocalists, trap latino, reggae, caribbean"
"Chino & Nacho, Daddy Yankee",
Thalia,"pop, latin, female vocalists, spanish, latin pop, mexican, mexico, dance, thalia, sexy"
Maluma,"Reggaeton, latin, pop, Colombia, sexy, latin pop, hot, colombian, male vocalists, Brutal Death Metal"
"Charly Black, Daddy Yankee",
Piso 21,"latin, Reggaeton, All, pop, spanish, Colombia, Brutal Death Metal, shit music, boybands, boy band"
Enrique Iglesias,"pop, latin, spanish, dance, latin pop, male vocalists, Enrique Iglesias, romantic, rnb, sexy"
"DJ Snake, Justin Bieber",
Mano Arriba,"cumbia, latin jazz, harsh noise, uruguay, cumbia pop, cumbia-pop"
Wisin,"Reggaeton, latin, dance, puerto rico, pop, latin pop, Puerto Rican, All, Hip-Hop, black metal"
Clean Bandit,"electronic, indie, experimental, british, electronica, pop, House, instrumental, indie pop, uk funky"
Chano,"pop, pop rock, cocaine, latin pop, Argentine Rock, argentina, mecha, chocar, Tan bionica, drug addict"
"IAmChino, El Chacal",
"Drake, WizKid, Kyla",
Calvin Harris,"electronic, dance, electro, Disco, electronica, british, House, Scottish, pop, electropop"
Major Lazer,"electronic, dancehall, reggae, dub, electro, dance, ragga, moombahton, american, trap"
Gente De Zona,"Reggaeton, cubaton, cuba, cuban, All, la habana, world, cubano, merengue, latino"
"The Weeknd, Daft Punk","mistagged artist, Daft Punk, The Weeknd"
Cosculluela,"Reggaeton, cosculluela, Hip-Hop, puerto rico, Latin Rap, latin, rap, jowel y randy, Puerto Rican, flaitecore"
"Maroon 5, Kendrick Lamar",
Bruno Mars,"pop, rnb, male vocalists, r&b, slow jams, soul, Bruno Mars, american, singer-songwriter, reggae"
Justin Timberlake,"pop, rnb, dance, male vocalists, Hip-Hop, american, r&b, Justin Timberlake, soul, hip hop"
Juanes,"latin, pop, spanish, rock, latino, colombian, Colombia, latin pop, Juanes, male vocalists"
J Balvin,"Reggaeton, pop, colombian, latin, Colombia, latin pop, All, hot, dancehall, trap"
"Martin Garrix, Bebe Rexha",netherlands
Los Bonnitos,"All, argentina, cumbia, BANDA, grupo, cumbia pop"
Mike Posner,"Hip-Hop, rnb, pop, rap, electro hop, electronic, r&b, hip hop, electropop, american"
Reik,"pop, latin pop, latin, spanish, reik, mexican, mexico, male vocalists, Romantica, Pop Latino"
"Don Omar, Zion & Lennox","Reggaeton, latin, Hip-Hop, spanish, latino, don omar, puerto rico, hip hop, Puerto Rican, dance"
Joey Montana,"Reggaeton, latin, reggae, Panama, All, espagnol, spanish, Joey, plena, lo mejor"
"Rihanna, Drake","pop, rnb, female vocalists, dance, Hip-Hop, Rihanna, r&b, hip hop, american, reggae"
"Marama, Rombai",
The Chainsmokers,"electronic, pop, House, electro house, dance, american, EDM, dj, electropop, alternative dance"
Nicky Jam,"Reggaeton, latin, pop, nicky jam, oldies, puerto rico, Rock and Roll, All, mierda, raggaeton"
Agapornis,"argentina, cumbia, argentine, the most frostbitten and grim music from the very very very very very very inverted mountains of Kxziiiimfghhhblaghl, cumbia pop, y esto es agapornis, meli lezcano"
DNCE,"pop, pop rock, dance, funk, american, joe jonas, dnce, rock, dance rock, USA"
Farruko,"Reggaeton, latin, Puerto Rican, puerto rico, autotune, Officially Shit, reggaeton-boriqua, trap latino, farruko, Urbano Latino"
Marama,"uruguay, cumbia, cumbia pop, pop, Nena, latin music, tropical, uruguayo, joda, boliche"
"The Chainsmokers, Halsey",
Shawn Mendes,"pop, Canadian, folk, male vocalists, acoustic, singer-songwriter, canada, no talent, sexy, shawn mendes"
El Polaco,"Brutal Death Metal, spanish, polski, cumbia, POLAK, polska, Cumbia villera, spain, shoegaze, grindcore"
"Sebastian Yatra, Cosculluela, Cali Y El Dandee",
#TocoParaVos,"uruguay, cumbia, cumbia cheta, Cumbia uruguaya"
"Pijama Party, Cande Buasso",
Starley,"australian, dance, House, pop, electronic, queer, australia, Mauritius, dance-pop, female vocalists"
"Nicky Jam, Enrique Iglesias",
LOAN,"Sludge, Stoner Rock, psychedelic, stoner, stoner metal, metal, Doom, doom metal, sludge metal, Post-Metal"
"David Guetta, Cedric Gervais, Chris Willis",
"Juan Magán, Luciana",
Rafaga,
"Ozuna, Cosculluela, Revol",
"Steve Aoki, Louis Tomlinson",
"Ariana Grande, Nicki Minaj","Ariana Grande, american"
"Xantos, Dynell",
Sia,"female vocalists, indie, chillout, trip-hop, downtempo, pop, australian, singer-songwriter, alternative, electronic"
"CantoParaBailar, Lucas Sugo",
Fifth Harmony,"pop, female vocalists, X factor, american, rnb, Fifth Harmony, Girl Groups, one direction, girl group, dance"
Charlie Puth,"pop, rnb, soul, american, USA, male vocalists, singer-songwriter, r&b, Singer/Songwriter, Jung Kook"
"Ozuna, Bad Bunny, Farruko, Ñengo Flow",
Abel Pintos,"argentina, folklore argentino, folk rock, latin, folk, singer-songwriter, 00s, indie argentino, Cantautores, folklore"
Jacob Forever,"Reggaeton, cuba, latin, world, cubaton"
"Carlos Baute, Alexis y Fido",
Papichamp,"argentina, cumbia, Cumbia villera, rkt, Cumbia turra, Turreo"
Kevin Roldan,"Reggaeton, All, Colombia, latin, urbano, Perreo, latino, Urban Latino, colombian mafe y gabo"
"Mambo Kingz, DJ Luian, Luigi 21 Plus, Ozuna",
Los Totora,"All, argentina, argentinian, argentino, argentinos"
"aLee DJ, Zeta Music",
"Enrique Iglesias, Descemer Bueno, Gente De Zona",
Sofía Reyes,"pop, Reggaeton, latin, mexico, latin pop, trap, 3, my top songs, deezer, trap latino"
Klasico,
"Cali Y El Dandee, Juan Magán, Sebastian Yatra",
