artist,genre
Jean-Jacques Perrey,"electronic, moog, french, space age pop, easy listening, lounge, 60s, france, electronica, experimental"
Television Blonde,"Lo-Fi, indie rock, Garage Punk, Garage Rock, punk rock, post-punk"
"Chichazzs, FreshFact",
"Jerry Lee, Sergei Barracuda, Strapo, Palermo, Pater Capo",
Isong,
Pomplamoose,"indie, female vocalists, indie pop, singer-songwriter, soul, alternative, pop, jazz, youtube, american"
SOS,"russian, finland, hardcore, instrumental, video game music, electronica, electronic, hardcore punk, composers, female vocalists"
"Eltiraletra, Og Nvndo",
"Yeo Freko, Beyako Rap, Menor Bronx, Gatillero 23, Yomel El Meloso",
Rod Contreras,
"Pusher, Mothica",
Daboor,"global south, palestine, Palestinian, arabic, mediterranean, west bank, Eastern Hemisphere, rap, UK Drill, hip hop"
Ghetto Blaster Sound,
"Wesley, Zack, Vertugo, Manny",
"Swiss, Swiss & Die Andern",
"DJ GRZS, Mc Fazano, Mc Marofa, Mc Mero RF",
Jason Kui,"indie, metal"
"Aadesh Goud, Aabhas Srivastava",
Mr. Xherlie,
HOKO,"electronic, american, United States"
"WORMONO, Tejas R.H.",
Harman Hundal,
Samit Kapoor,
ZB,"Progressive House, Mistique Music"
Shirene Sanjay,
Hasu,"diverse system, Bemani, doujin ongaku"
Tashif,
Stavya Kaila,
"idkjack, Luvjools",
"Britto Michael, Sivakarthikeyan, Poovaiyar, Kamala Kannan, Rajesh",
Aldi Taher,
Francis Greg,
Amanda Manopo,
Febinda Tito,
Valdy Nyonk,"indonesia, pop, indonesian, Sulawesi"
ANIM,"minimal, electronic, private:watchlist, via:lastfm"
Chelsea Football Club,"chelsea, england football songs, british, english, london, weird, pop, United Kingdom, england, chelsea fc"
Cassidi,"alternative, pop, bedroom pop, acoustic pop"
"Kobi M, Ofek Mizrahi, Jedri",
Sharxx,
"3win$, Nasty",
"Kana Nishino, WISE",
"KeeP, ユエ",
XIIX,
Minty,"Leigh Bowery, electronic, dance, rock, london, k-pop, 90s, weird, art rock, art pop"
Culture the Kid,Luxembourg
Black Hanifah,
BIAN Gindas,
THE 8,"k-pop, Kpop, YUH GET ITT MING, seventeen, chinese, C-pop, pop, omg hao ml, artists that lick the boots of the chinese government for ez boycotting, haooo"
锦零,
Trixy Star,"mexico, pop, latin, drag, drag queen"
"Ramon Vega, Gera MX",
Urbøi,"mexico, USA"
"Maná, Joy",
Paoulo Music,
Aafia,"arabic, rap, morocco, moroccan"
"Idrissi, Cnebce",
Cheb Aymen Parisien,
K1 MUSIC,
Sian Evans,"Progressive House, great, female vocalist, beautiful, trip-hop, welsh, female vocalists, Kosheen, legends, downbeat"
"Asgar Koster, Raff Chanco, Jay Square",
Young Go,
"33 Below, MCK",
"K Motionz, IC3",
"Bou, Inja",
Hd4president,
Surly,"Juke, polish, footwork, jazz, New Zealand, electronic, experimental, new zealander, bass, polish jazz"
"Jamila Woods, Saba",
The FourS,
JOTA,"screamo, Crust, hardcore, psychedelic, electronic, electro, House, female vocal, germany, post-hardcore"
huhsmile,
"Marc Alfaro, Gwy Saludes",
Gilyan Saludes,
Ten Preston,
Blaga,
Pedro Mafama,"electronic, indie, worldbeat, portuguese, Portugal, novo fado, autotune, covid 19"
Кондрашов,
"Cowbell Cult, $werve",
姚六一,"cpop, chinese, pop, China, C-pop, mandopop"
戴羽彤,"China, chinese"
"米卡, 高卿尘, 吴宇恒, 薛八一, 张星特, 曾涵江, 鞠婧祎",
Kylesimps,
任子墨,
俩个人 Both.ii,
呆呆破,"China, chinese, male vocalist, mandopop"
"林達浪, h3R3",
Radovan Moznich,
"Iconito, FS Zemplín",
"ATK MusiQ, Tman Xpress, DJ Jaivane, Sinny Man'Que",
